,CDK2,ATM,AKT2,ABL1,IRAK4,PAK1,PAK2,SRC,PDK1,CDK4,CDK6,CDK5,CDK9,MAPKAPK2,AKT1,CDK7,MAP3K7,MARK2,GSK3B,JAK2,MAP2K1,MAP2K2,RET,FYN,ATR,CDC7,HIPK2,MARK3,ARAF,LATS1,SGK1,RAF1,ROCK1,ROCK2,CLK1,NEK9,DYRK2,MAP3K6,MAP2K4,MAP3K5,MAP2K6,MAP2K3,PAK4,GTF2F1,PLK1,HCK,AXL,GSK3A,MOS,PIM1,DYRK1A,BRAF,FER,ALK,MASTL
MARK2,219,67,121,103,152,124,215,243,34,136,146,402,51,279,299,47,796,0,180,156,136,114,210,27,71,129,158,189,315,97,174,120,235,11,88,12,26,171,171,171,171,171,98,80,99,11,39,27,11,78,5,321,38,38,19
GSK3B,234,77,82,0,30,43,60,490,32,179,32,207,83,114,141,26,157,180,0,116,84,65,117,13,230,82,57,66,69,77,131,88,115,47,100,0,148,47,47,47,47,47,38,43,122,5,56,56,205,64,37,43,84,84,8
JAK2,76,123,382,152,71,380,96,160,7,16,0,236,0,254,480,13,118,156,116,0,873,845,873,73,33,31,65,204,88,61,426,8,380,0,12,24,105,267,267,267,267,267,14,3,45,157,329,6,112,408,0,93,231,231,18
MAP2K1,92,100,279,132,77,394,51,125,8,10,4,206,2,183,422,4,112,136,84,873,0,983,785,65,11,40,41,191,88,54,331,0,275,9,10,33,66,218,218,218,218,218,12,9,41,44,69,14,36,400,1,55,36,36,8
MAP2K2,75,112,232,116,65,367,38,99,7,5,3,171,0,155,365,5,96,114,65,845,983,0,737,51,10,32,32,163,71,48,290,0,237,13,5,22,58,176,176,176,176,176,10,12,31,33,57,14,27,399,0,43,33,33,7
RET,96,87,341,188,102,305,107,224,1,39,4,301,0,288,480,7,168,210,117,873,785,737,0,124,54,66,53,277,104,72,454,12,373,0,51,17,94,597,597,597,597,597,15,0,37,82,227,7,93,488,0,112,197,197,70
FYN,23,5,37,851,13,32,48,6,50,3,0,31,0,12,33,27,38,27,13,73,65,51,124,0,3,48,24,197,8,16,1,45,92,38,5,7,8,165,165,165,165,165,5,5,9,33,28,13,17,31,18,14,5,5,251
ATR,120,147,5,0,56,5,28,158,51,128,24,99,31,83,23,5,50,71,230,33,11,10,54,3,0,151,46,108,4,17,130,137,117,116,35,10,135,52,52,52,52,52,10,1,38,0,35,4,114,16,1,13,89,89,1
CDC7,581,0,0,40,61,15,51,51,46,228,124,109,71,78,30,399,132,129,82,31,40,32,66,48,151,0,160,346,78,19,40,47,121,9,213,48,1,70,70,70,70,70,33,53,36,12,0,98,4,49,42,54,9,9,4
HIPK2,249,27,0,56,39,14,68,22,21,94,8,124,96,136,25,93,171,158,57,65,41,32,53,24,46,160,0,207,50,27,44,177,253,109,11,0,0,9,9,9,9,9,72,105,115,1,45,127,1,75,35,72,85,85,0
