HOXB7	CREBBP
TRIP4	CREBBP
IRF3	CREBBP
PPARGC1A	CREBBP
CITED1	CREBBP
ONECUT1	CREBBP
PPARG	CREBBP
SNIP1	CREBBP
NFE2	CREBBP
NEUROG1	CREBBP
KLF1	CREBBP
TRERF1	CREBBP
NFATC4	CREBBP
RPS6KA3	CREBBP
MGMT	CREBBP
MECOM	CREBBP
HIPK2	CREBBP
TGS1	CREBBP
MAF	CREBBP
EBF1	CREBBP
SS18L1	CREBBP
ALX1	CREBBP
NAP1L1	CREBBP
ICAM1	CREBBP
PROX1	CREBBP
SRCAP	CREBBP
TRAM2	CREBBP
NLK	CREBBP
TACC2	CREBBP
TFF1	CREBBP
ABCA1	SNTB2
DMD	SNTB2
KCNJ12	SNTB2
ERBB4	SNTB2
PTPRN	SNTB2
UTRN	SNTB2
DTNA	SNTB2
DGKZ	SNTB2
SCN5A	SNTB2
MAST1	SNTB2
MAST2	SNTB2
ABCA1	PRPF8
MYC	PRPF8
UBC	PRPF8
RNPS1	PRPF8
PRPF6	PRPF8
SNRNP40	PRPF8
CD2BP2	PRPF8
SNRPB	PRPF8
RNU12	PRPF8
RNU11	PRPF8
EFTUD2	PRPF8
ABCA1	AOX1
ABCA1	SDHB
ABCA1	UGP1
LCAT	APOA1
ABCA1	APOA1
GPLD1	APOA1
APOF	APOA1
LBP	APOA1
APOL1	APOA1
PLTP	APOA1
CD40LG	APOA1
APOA1BP	APOA1
APOC1	APOA1
PDE1A	APOA1
SAA2	APOA1
MAP7D1	APOA1
TNFRSF10C	APOA1
TOMM20	APOA1
ABCA1	FADD
RYBP	FADD
TRADD	FADD
EZR	FADD
ARHGDIA	FADD
PRKCZ	FADD
DAP3	FADD
IRAK1	FADD
PEA15	FADD
CASP8	FADD
FASLG	FADD
TNFRSF1A	FADD
RIPK1	FADD
NACA	FADD
FAS	FADD
SUMO1	FADD
CASP10	FADD
CFLAR	FADD
NOL3	FADD
CASP8AP2	FADD
HIPK3	FADD
RHOA	FADD
MSN	FADD
MAPK8	FADD
BID	FADD
