,AKT1,AKT2,ARAF,ATM,ATR,AurB,BRAF,BUB1,CDC7,CDK2,CDK3,CDK4,CDK5,CDK6,CDK7,CDK9,CK1d,DAPK2,DYRK1A,DYRK1B,GSK3A,GSK3B,HIPK2,IKKb,JAK2,MAP2K7,MAP3K1,MAP3K7,p38a,MAPKAPK2,MARK2,MELK,NEK6,NEK9,NLK,PAK1,PAK4,PBK,PIM1,PIM3,PLK1,PLK3,PKCh,PKCi,RAF1,RSK3,RSK2,SGK1,SRC,SRPK1,TLK2,TTK,ULK1,VRK1
p38a,133,0,120,34,177,15,181,279,131,222,498,514,0,338,664,334,2,149,152,37,4,460,75,310,0,510,510,130,0,161,130,357,136,1,82,163,2,498,9,81,628,433,84,0,136,81,627,309,184,114,580,30,492,498
MAPKAPK2,627,145,573,137,368,310,882,0,215,648,615,190,7,466,493,759,618,2,71,24,298,652,300,23,39,497,497,97,161,0,97,14,412,305,144,755,261,615,162,629,393,616,60,324,584,629,525,707,22,3,45,37,541,615
MARK2,162,0,0,112,22,113,75,225,98,94,1,8,27,9,32,26,259,55,622,44,104,7,15,4,0,1,1,1000,130,97,0,215,14,29,116,70,61,1,279,1,20,4,27,9,9,1,8,0,1,88,95,32,0,1
MELK,50,42,21,155,194,164,37,284,27,173,228,468,50,133,352,15,0,454,20,298,53,253,438,189,329,376,376,215,357,14,215,0,214,64,105,29,3,228,62,71,341,294,75,48,24,71,315,34,218,427,573,172,234,228
NEK6,321,45,145,24,448,234,397,138,389,711,501,269,42,414,350,190,224,15,78,149,579,671,681,0,435,381,381,14,136,412,14,214,0,158,329,319,590,501,101,361,192,642,77,533,158,361,330,224,25,20,153,463,316,501
NEK9,178,170,68,5,16,337,362,14,0,286,236,137,1,329,41,122,125,89,126,150,361,248,157,36,91,203,203,29,1,305,29,64,158,0,287,228,83,236,159,168,14,286,168,312,55,168,129,48,3,98,0,132,83,236
NLK,195,28,8,121,0,182,161,40,99,359,364,292,10,231,78,60,38,157,142,309,170,346,70,36,100,240,240,116,82,144,116,105,329,287,0,130,53,364,207,0,57,473,18,218,0,0,212,0,66,157,59,278,210,364
PAK1,731,46,662,73,287,475,879,1,113,602,532,317,22,478,535,768,548,49,68,121,151,604,226,126,15,545,545,70,163,755,70,29,319,228,130,0,171,532,279,573,402,507,0,99,744,573,560,498,50,21,31,40,511,532
PAK4,65,39,90,306,381,72,275,6,450,402,135,28,258,187,86,67,216,23,137,22,552,298,327,93,126,116,116,61,2,261,61,3,590,83,53,171,0,135,46,278,14,179,374,435,80,278,20,189,122,55,6,442,15,135
PBK,522,43,190,24,185,252,621,137,261,746,1000,569,0,618,626,543,244,132,11,181,108,824,315,195,115,725,725,1,498,615,1,228,501,236,364,532,135,0,79,259,442,949,1,217,232,259,858,397,81,80,246,174,675,1000
PIM1,368,35,125,27,33,727,287,141,37,297,79,210,3,147,107,172,197,170,458,556,142,159,54,114,18,336,336,279,9,162,279,62,101,159,207,279,46,79,0,123,119,111,0,5,185,123,88,20,58,32,49,153,74,79
PIM3,392,178,829,284,676,303,607,0,44,360,259,99,0,261,475,536,381,0,6,11,334,356,474,7,71,316,316,1,81,629,1,71,361,168,0,573,278,259,123,0,303,295,31,230,748,1000,315,611,5,3,41,14,300,259
PLK1,336,25,413,1,394,167,396,118,191,330,442,358,7,218,765,458,230,64,13,61,17,566,256,353,34,602,602,20,628,393,20,341,192,14,57,402,14,442,119,303,0,434,70,30,461,303,630,530,328,203,471,4,688,442
PLK3,538,72,191,18,255,282,595,170,258,767,949,581,0,601,621,474,237,129,17,198,225,846,434,130,202,681,681,4,433,616,4,294,642,286,473,507,179,949,111,295,434,0,2,327,231,295,803,356,124,111,238,244,717,949
PKCh,34,93,6,89,7,1,61,104,115,65,1,40,183,26,37,3,46,94,97,6,168,15,15,302,1,0,0,27,84,60,27,75,77,168,18,0,374,1,0,31,70,2,0,353,21,31,68,4,529,78,23,90,98,1
PKCi,59,292,30,20,240,88,207,15,190,307,217,14,48,81,63,34,223,17,81,9,541,285,504,99,366,99,99,9,0,324,9,48,533,312,218,99,435,217,5,230,30,327,353,0,19,230,67,118,7,31,4,165,94,217
RAF1,588,29,967,223,454,285,618,1,31,271,232,136,60,234,524,680,441,2,1,12,104,324,204,97,3,300,300,9,136,584,9,24,158,55,0,744,80,232,185,748,461,231,21,19,0,748,387,595,103,4,22,0,464,232
RSK3,392,178,829,284,676,303,607,0,44,360,259,99,0,261,475,536,381,0,6,11,334,356,474,7,71,316,316,1,81,629,1,71,361,168,0,573,278,259,123,1000,303,295,31,230,748,0,315,611,5,3,41,14,300,259
RSK2,595,26,337,27,223,263,535,172,107,532,858,562,20,479,757,622,210,180,1,156,34,699,274,378,80,704,704,8,627,525,8,315,330,129,212,560,20,858,88,315,630,803,68,67,387,315,0,444,252,181,304,40,823,858
SGK1,327,87,651,280,608,72,581,17,206,361,397,121,6,300,578,631,416,25,3,16,132,446,251,51,5,376,376,0,309,707,0,34,224,48,0,498,189,397,20,611,530,356,4,118,595,611,444,0,13,0,167,0,444,397
SRC,227,6,56,111,19,69,9,156,0,16,81,168,331,13,177,60,17,50,15,50,1,100,65,169,101,86,86,1,184,22,1,218,25,3,66,50,122,81,58,5,328,124,529,7,103,5,252,13,0,258,112,1,437,81
SRPK1,24,59,3,263,13,89,5,194,0,14,80,72,47,0,82,0,16,297,4,167,0,94,81,165,142,125,125,88,114,3,88,427,20,98,157,21,55,80,32,3,203,111,78,31,4,3,181,0,258,0,121,0,187,80
TLK2,43,4,21,25,188,77,73,107,160,233,246,435,94,248,371,70,3,114,17,95,5,287,206,242,92,483,483,95,580,45,95,573,153,0,59,31,6,246,49,41,471,238,23,4,22,41,304,167,112,121,0,87,178,246
TTK,81,13,7,1,49,152,110,63,238,370,174,286,263,300,38,0,15,97,178,344,357,262,219,5,274,162,162,32,30,37,32,172,463,132,278,40,442,174,153,14,4,244,90,165,0,14,40,0,1,0,87,0,20,174
ULK1,610,28,391,7,283,161,456,252,132,400,675,404,123,314,697,527,268,66,7,58,66,610,270,255,94,470,470,0,492,541,0,234,316,83,210,511,15,675,74,300,688,717,98,94,464,300,823,444,437,187,178,20,0,675
VRK1,522,43,190,24,185,252,621,137,261,746,1000,569,0,618,626,543,244,132,11,181,108,824,315,195,115,725,725,1,498,615,1,228,501,236,364,532,135,1000,79,259,442,949,1,217,232,259,858,397,81,80,246,174,675,0
