Proteins	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Basal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal	Luminal
'ABCF1'	1.000693387	1.033114388	0.999307093	1.024556823	0.997922719	1.016070143	1.024556823	0.989656656	1.034547582	0.946713631	0.940826108	0.954621014	1.027401439	1.0238469	0.997231251	0.964598185	0.963929808	0.976708529
'ABCF2'	0.993781093	1.00556058	0.986232704	0.976031761	0.987600861	1.020304659	1.016070143	0.983502074	1.002776436	1.020304659	1.030253954	1.0132569	1.004167543	1.009751298	1.000693387	0.989656656	0.97063447	0.976708529
'ABCF3'	1.038859103	1.029540083	1.030253954	0.967947027	0.964598185	0.933679945	0.989656656	1.008352455	1.025978145	1.017479692	1.062895674	1	0.971307496	0.987600861	0.96727633	1.002081605	1.018891197	1.029540083
'ABHDB'	0.97874165	0.972654947	1.014662547	1.153485605	1.180174343	1.052631155	1.089752112	1.0132569	1.089752112	1.044635763	0.953959551	0.974004269	1.025267238	0.997922719	0.960594864	1.012554807	0.968618189	0.966606097
'ABHDD'	0.986916546	0.917004043	1.055553718	0.942784536	0.897510051	0.953298545	1.132098902	1.021720083	1.073260286	1.085229372	0.940826108	0.996540263	1.02313747	0.961260928	0.855002178	1.035264924	0.925946023	1.032398535
'ABHGA'	0.934975198	1.055553718	0.946713631	0.801625329	0.907519155	0.96727633	0.981459064	1.043911927	1.050444544	0.982820599	0.954621014	0.950659101	1.020304659	1.022428531	0.958599438	1.043911927	1.041743429	1.059952783
'ABI2'	0.959264119	1.074004472	0.971980988	1.067325338	1.083725967	0.947370071	0.978063473	0.963929808	0.959264119	1.037419937	0.980099415	0.973329374	1.0181852	1.037419937	0.991029563	0.992404375	1.074749173	1.029540083
'ABRX1'	0.978063473	0.948684315	1.059218335	1.006257823	1.098854218	1.022428531	0.997231251	0.996540263	0.910038824	0.91319825	0.993781093	0.890692901	1.159095952	1.089752112	0.722966147	1.00556058	0.71946679	0.854409741
'ABRX2'	1.034547582	1.025267238	1.041743429	0.963929808	1.029540083	0.960594864	0.976031761	1.046810282	1.024556823	1.00486382	1.164733586	1.066585781	0.988285652	0.959929261	0.948684315	0.969289817	0.940174203	0.949342121
'ABT1'	1.051901779	1.083725967	1.002081605	1.190856849	1.20163605	0.929804943	0.874784765	0.824733549	0.886381699	1.035982764	1.0181852	0.944092419	0.877213549	1.02313747	0.957271458	1.071030823	1.009751298	1.046810282
