,Kinase
483,Hs_DMPK2.AA
484,Hs_DMPK1.AA
485,Hs_ROCK1.AA
486,Hs_ROCK2.AA
487,Hs_CRIK.AA
488,Hs_ADCK3.AA
489,Hs_ADCK4.AA
490,Hs_ADCK1.AA
491,Hs_ADCK5.AA
492,Hs_ABR.AA
493,Hs_BCR.AA
494,Hs_PDHK1.AA
495,Hs_PDHK2.AA
496,Hs_PDHK3.AA
497,Hs_PDHK4.AA
498,Hs_ChaK1.AA
499,Hs_ChaK2.AA
500,Hs_FAM20A.AA
501,Hs_FAM20C.AA
502,Hs_FAM20B.AA
503,Hs_TAF1.AA
504,Hs_TAF1L.AA
505,Hs_MEKK15.AA
506,Hs_SgK269.AA
507,Hs_SgK396.AA
508,Hs_AlphaK2.AA
509,Hs_SCYL3.AA
510,Hs_AlphaK1.AA
511,Hs_DLK.AA
512,Hs_LZK.AA
513,Hs_MLK1.AA
514,Hs_MLK2.AA
515,Hs_MLK4.AA
516,Hs_MLK3.AA
517,Hs_ULK1.AA
518,Hs_ULK2.AA
519,Hs_ANKRD3.AA
520,Hs_SgK288.AA
521,Hs_FRAP.AA
522,Hs_eEF2K.AA
523,Hs_RSKL1.AA
524,Hs_RSKL2.AA
525,Hs_NME1A.AA
526,Hs_NME1B.AA
527,Hs_NME3.AA
528,Hs_NME4.AA
529,Hs_TXNDC3.AA
530,Hs_TXNDC6.AA
531,Hs_ULK4.AA
532,Hs_Haspin.AA
533,Hs_BCKDK.AA
534,Hs_ATM.AA
535,Hs_Fused.AA
536,Hs_TRRAP.AA
537,Hs_BUB1.AA
